id,skill,expected_content,question,text,category,follow_up_answer,answer,confidence,created_at,interview_id,candidate_id,action
2368,"AI Basics","Ethical considerations in AI include issues related to bias, privacy, transparency, and accountability.","What ethical considerations are important in the development of AI technologies?","Still waiting for your answer",off_topic,NULL,"Still waiting for your answer",0.85,"2025-05-30 15:58:23",201,1113,NULL
2369,"AI Basics","Ethical considerations in AI include issues related to bias, privacy, transparency, and accountability.","What ethical considerations are important in the development of AI technologies?","Please give more explanation. Give...",explanation,NULL,"Please give more explanation. Give...",0.95,"2025-05-30 15:58:43",201,1113,NULL
2370,"AI Basics","Ethical considerations in AI include issues related to bias, privacy, transparency, and accountability.","What ethical considerations are important in the development of AI technologies?","Several ethical considerations are crucial in the development of AI technologies to ensure responsible, fair, and safe use.",answer,NULL,"Several ethical considerations are crucial in the development of AI technologies to ensure responsible, fair, and safe use.",0.95,"2025-05-30 15:59:17",201,1113,NULL
2371,"Programming Basics","An object is an instance of a class that contains data and methods to manipulate that data.","What is an object in programming?","Still waiting for your answer",off_topic,NULL,"Still waiting for your answer",0.85,"2025-05-30 15:59:41",201,1113,NULL
2372,"Programming Basics","An object is an instance of a class that contains data and methods to manipulate that data.","What is an object in programming?","The objective programming is self-contained unit that bundles together data and functions.",answer,NULL,"The objective programming is self-contained unit that bundles together data and functions.",0.85,"2025-05-30 16:00:06",201,1113,NULL
2373,"Programming Basics","'Print' outputs text or data to the console or screen.","What does 'print' do in most programming languages?","The print, the print is a method in the programming languages. The print is the method, uh, in the programming language. The print is a statement or function is used to display output to the screen or console.",answer,NULL,"The print, the print is a method in the programming languages. The print is the method, uh, in the programming language. The print is a statement or function is used to display output to the screen or console.",0.85,"2025-05-30 16:00:49",201,1113,NULL
2374,"OOP Basic","A property is a variable that belongs to a class and holds data about the object.","What is a property in OOP?","Uh, the property, the property in WOP, the property in the WOP concept-",answer,NULL,"Uh, the property, the property in WOP, the property in the WOP concept-",0.85,"2025-05-30 16:01:16",201,1113,NULL
2375,"AI Basics","Ethical considerations in AI involve issues such as bias, privacy, and accountability.","What are the ethical considerations in artificial intelligence?","Please move on. Next question. Please move on. Next question.",next_question,NULL,"Please move on. Next question. Please move on. Next question.",0.95,"2025-05-30 16:01:33",201,1113,NULL
2376,"Data Structures & Algorithms","Breadth-first search explores all neighbors of a node before moving to the next level, while depth-first search explores as far as possible along each branch before backtracking.","What is the primary difference between a breadth-first search and a depth-first search?","The, the, the, the, the primary difference between breadth-first search and depth-first search lie in the-",answer,NULL,"The, the, the, the, the primary difference between breadth-first search and depth-first search lie in the-",0.85,"2025-05-30 16:02:02",201,1113,NULL
2377,"Programming Basics","An array is a collection of items stored at contiguous memory locations, typically of the same data type.","What is an array?","An array is a data structure used to store a collection of elements, typically of the same type, in a single variable.",answer,NULL,"An array is a data structure used to store a collection of elements, typically of the same type, in a single variable.",0.95,"2025-05-30 16:02:33",201,1113,NULL
2378,"Programming Basics","Local variables are declared within a specific scope and can only be accessed within that scope, while global variables are accessible throughout the program.","Describe the difference between local and global variables.","Still waiting for your answer",off_topic,NULL,"Still waiting for your answer",0.85,"2025-05-30 16:02:57",201,1113,NULL
2379,"Programming Basics","Local variables are declared within a specific scope and can only be accessed within that scope, while global variables are accessible throughout the program.","Describe the difference between local and global variables.","The difference between local and global variables lies in their scope, where they can be accessed or used in a program.",answer,NULL,"The difference between local and global variables lies in their scope, where they can be accessed or used in a program.",0.95,"2025-05-30 16:03:20",201,1113,NULL
2380,JavaScript,"The this keyword refers to the context in which a function is called.","What is the purpose of the this keyword in JavaScript","Still waiting for your answer",off_topic,NULL,"Still waiting for your answer",0.85,"2025-05-30 16:03:39",201,1113,NULL
2381,JavaScript,"The this keyword refers to the context in which a function is called.","What is the purpose of the this keyword in JavaScript","This keyword in the JavaScript, uh, "The object is currently executing the function" refers to?",ask_answer,NULL,"This keyword in the JavaScript, uh, "The object is currently executing the function" refers to?",0.85,"2025-05-30 16:04:04",201,1113,NULL
2382,JavaScript,"The this keyword refers to the context in which a function is called.","What is the purpose of the this keyword in JavaScript","In JavaScript, the "this" keyword refers to the object that is currently executing the function.",answer,NULL,"In JavaScript, the "this" keyword refers to the object that is currently executing the function.",0.95,"2025-05-30 16:04:29",201,1113,NULL
2383,"Data Structures & Algorithms","A priority queue ensures that the element with the highest priority is processed first.","What is the main advantage of using a priority queue?","I don't know.",answer,NULL,"I don't know.",0.95,"2025-05-30 16:04:47",201,1113,NULL
2384,JavaScript,"A variable is a container for storing data values.","What does the term variable mean in JavaScript","Term variable, uh, is, uh, one of the name in JavaScript.",answer,NULL,"Term variable, uh, is, uh, one of the name in JavaScript.",0.85,"2025-05-30 16:05:11",201,1113,NULL
2385,"AI Basics","Training data is essential in machine learning as it is used to teach the model and enable it to make predictions or decisions.","What is the significance of training data in machine learning?","Still waiting for your answer",off_topic,NULL,"Still waiting for your answer",0.85,"2025-05-30 16:05:33",201,1113,NULL
